timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672385861948,516,HTTP Request,200,OK,Thread Group 1-3,text,true,,163461,228,8,8,https://www.wykop.pl/,24,0,11
1672385861948,24,HTTP Request-0,302,Found,Thread Group 1-3,,true,,99,114,8,8,http://www.wykop.pl/,24,0,11
1672385861973,491,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,163362,114,8,8,https://www.wykop.pl/,404,0,388
1672385862242,244,HTTP Request,200,OK,Thread Group 1-6,text,true,,163078,228,8,8,https://www.wykop.pl/,23,0,10
1672385862046,440,HTTP Request,200,OK,Thread Group 1-4,text,true,,163097,228,8,8,https://www.wykop.pl/,26,0,10
1672385862144,342,HTTP Request,200,OK,Thread Group 1-5,text,true,,163119,228,8,8,https://www.wykop.pl/,24,0,13
1672385862242,23,HTTP Request-0,302,Found,Thread Group 1-6,,true,,99,114,8,8,http://www.wykop.pl/,23,0,10
1672385862046,26,HTTP Request-0,302,Found,Thread Group 1-4,,true,,99,114,8,8,http://www.wykop.pl/,26,0,10
1672385862144,24,HTTP Request-0,302,Found,Thread Group 1-5,,true,,99,114,8,8,http://www.wykop.pl/,24,0,13
1672385862266,220,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,162979,114,8,8,https://www.wykop.pl/,114,0,95
1672385862073,413,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,162998,114,8,8,https://www.wykop.pl/,307,0,288
1672385862169,317,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,163020,114,8,8,https://www.wykop.pl/,212,0,192
1672385861828,673,HTTP Request,200,OK,Thread Group 1-1,text,true,,163022,228,8,8,https://www.wykop.pl/,51,0,33
1672385861828,53,HTTP Request-0,302,Found,Thread Group 1-1,,true,,99,114,8,8,http://www.wykop.pl/,51,0,33
1672385861883,618,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,162923,114,8,8,https://www.wykop.pl/,499,0,478
1672385861849,666,HTTP Request,200,OK,Thread Group 1-2,text,true,,162697,228,8,8,https://www.wykop.pl/,30,0,10
1672385861849,32,HTTP Request-0,302,Found,Thread Group 1-2,,true,,99,114,8,8,http://www.wykop.pl/,30,0,10
1672385861883,632,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,162598,114,8,8,https://www.wykop.pl/,506,0,478
1672385862342,212,HTTP Request,200,OK,Thread Group 1-7,text,true,,163070,228,9,9,https://www.wykop.pl/,28,0,11
